Time (s),VplgR (V),VplgL (V),Current (V)
3123.83982515,1.66745728643,1.36482758621,-0.00183961053
3124.03875399,1.66745728643,1.36486781609,-0.00192797647
3124.24617004,1.66745728643,1.36490804598,-0.0019775212
3124.44012499,1.66745728643,1.36494827586,-0.00179209669
3124.64763999,1.66745728643,1.36498850575,-0.00173089992
3124.840734,1.66745728643,1.36502873563,-0.00187222393
3125.04591703,1.66745728643,1.36506896552,-0.00183690399
3125.24065614,1.66745728643,1.3651091954,-0.00171501742
3125.43698096,1.66745728643,1.36514942529,-0.00175314061
3125.64601016,1.66745728643,1.36518965517,-0.00179772066
3125.84876299,1.66745728643,1.36522988506,-0.0016850652
3126.04660702,1.66745728643,1.36527011494,-0.00164052112
3126.24366808,1.66745728643,1.36531034483,-0.00173372158
3126.44308496,1.66745728643,1.36535057471,-0.00168687136
3126.64739394,1.66745728643,1.3653908046,-0.00156878887
3126.84795499,1.66745728643,1.36543103448,-0.00153279041
3127.04742908,1.66745728643,1.36547126437,-0.00148280018
3127.24730611,1.66745728643,1.36551149425,-0.00133153537
3127.44706511,1.66745728643,1.36555172414,-0.00123550241
3127.6441021,1.66745728643,1.36559195402,-0.00131230763
3127.84311414,1.66745728643,1.36563218391,-0.00126769787
3128.04830909,1.66745728643,1.36567241379,-0.00113630925
3128.24777508,1.66745728643,1.36571264368,-0.00111553521
3128.44864416,1.66745728643,1.36575287356,-0.0011655661
3128.64448309,1.66745728643,1.36579310345,-0.00105390292
3128.84812999,1.66745728643,1.36583333333,-0.000953401185
3129.04836011,1.66745728643,1.36587356322,-0.00102498005
3129.24912,1.66745728643,1.3659137931,-0.00095355614
3129.44889593,1.66745728643,1.36595402299,-0.000782888419
3129.64996004,1.66745728643,1.36599425287,-0.000717120118
3129.84946895,1.66745728643,1.36603448276,-0.000752068427
3130.04531312,1.66745728643,1.36607471264,-0.000641729349
3130.24962807,1.66745728643,1.36611494253,-0.000526619155
3130.45127416,1.66745728643,1.36615517241,-0.000579428523
3130.64833713,1.66745728643,1.3661954023,-0.000529399076
3130.84893203,1.66745728643,1.36623563218,-0.000360546058
3131.04542708,1.66745728643,1.36627586207,-0.000306788675
3131.24697304,1.66745728643,1.36631609195,-0.000381796873
3131.44996905,1.66745728643,1.36635632184,-0.000272332542
3131.64938402,1.66745728643,1.36639655172,-0.000165564762
3131.84904313,1.66745728643,1.36643678161,-0.000202169569
3132.05007005,1.66745728643,1.36647701149,-0.000226009379
3132.24735904,1.66745728643,1.36651724138,-0.000113242995
3132.44902015,1.66745728643,1.36655747126,-8.45069521e-05
3132.65352798,1.66745728643,1.36659770115,-0.000211429436
3132.85089612,1.66745728643,1.36663793103,-0.000164799372
3133.05128503,1.66745728643,1.36667816092,-8.67760521e-05
3133.25034094,1.66745728643,1.3667183908,-0.000154023401
3133.44921899,1.66745728643,1.36675862069,-0.000196451163
3133.65800595,1.66745728643,1.36679885057,-0.000100619358
3133.85520697,1.66745728643,1.36683908046,-7.25277973e-05
3134.05779505,1.66745728643,1.36687931034,-0.000199494554
3134.25458503,1.66745728643,1.36691954023,-0.000166417614
3134.45830393,1.66745728643,1.36695977011,-8.49994875e-05
3134.65092015,1.66745728643,1.367,-0.000153679203
3135.95791793,1.66749748744,1.36,-0.000426677202
3136.13726401,1.66749748744,1.36004022989,-0.000262128868
3136.31036997,1.66749748744,1.36008045977,-0.00020362263
3136.48930597,1.66749748744,1.36012068966,-8.95730589e-05
3136.66600204,1.66749748744,1.36016091954,-6.19184504e-05
3136.85332203,1.66749748744,1.36020114943,-0.000190973007
3137.05245614,1.66749748744,1.36024137931,-0.000183544562
3137.25781703,1.66749748744,1.3602816092,-8.01356172e-05
3137.45829916,1.66749748744,1.36032183908,-0.000112013223
3137.65809608,1.66749748744,1.36036206897,-0.00020951091
3137.85619593,1.66749748744,1.36040229885,-0.000118840134
3138.05516505,1.66749748744,1.36044252874,-5.92691808e-05
3138.25790405,1.66749748744,1.36048275862,-0.000181191009
